HDFC BANK STATEMENT
Account Number: XXXX1234XXXX5678
Account Type: Current Account
Statement Period: 01/06/2023 to 30/06/2023
Account Name: COWORK VENUE SOLUTIONS PVT LTD
Branch: KORAMANGALA, BANGALORE

date,narration,chq/ref_no,value_date,withdrawal_amt,deposit_amt,closing_balance
01/06/2023,BALANCE BROUGHT FORWARD,,,0.00,0.00,229200.00
02/06/2023,NEFT-CREATIVE STUDIOS-MONTHLY MEMBERSHIP,NEFT456123,02/06/2023,0.00,38000.00,267200.00
03/06/2023,UPI-TECH STARTUP-CONFERENCE ROOM BOOKING,UPI123456,03/06/2023,0.00,12500.00,279700.00
04/06/2023,IMPS-DIGITAL AGENCY-DAY PASSES BULK,IMPS789012,04/06/2023,0.00,8500.00,288200.00
05/06/2023,RENT PAYMENT TO LANDLORD,NEFT345678,05/06/2023,85000.00,0.00,203200.00
06/06/2023,ELECTRICITY BILL PAYMENT-JUNE,BILLPAY123,06/06/2023,14500.00,0.00,188700.00
07/06/2023,INTERNET SERVICE PROVIDER-MONTHLY,NEFT567890,07/06/2023,8500.00,0.00,180200.00
08/06/2023,WATER BILL PAYMENT,BILLPAY456,08/06/2023,3800.00,0.00,176400.00
09/06/2023,UPI-FREELANCER NETWORK-EVENT SPACE,UPI234567,09/06/2023,0.00,25000.00,201400.00
10/06/2023,SALARY PAYMENT-COMMUNITY MANAGER,NEFT678901,10/06/2023,32000.00,0.00,169400.00
10/06/2023,SALARY PAYMENT-RECEPTIONIST,NEFT678902,10/06/2023,25000.00,0.00,144400.00
10/06/2023,SALARY PAYMENT-MAINTENANCE STAFF,NEFT678903,10/06/2023,18000.00,0.00,126400.00
12/06/2023,OFFICE SUPPLIES-STATIONERY AND PRINTING,POS123789,12/06/2023,4500.00,0.00,121900.00
15/06/2023,GST PAYMENT-MAY,NEFT789123,15/06/2023,18500.00,0.00,103400.00
16/06/2023,NEFT-BUSINESS CONSULTANCY-PRIVATE OFFICE,NEFT901234,16/06/2023,0.00,55000.00,158400.00
18/06/2023,COFFEE AND TEA SUPPLIES,POS456789,18/06/2023,6500.00,0.00,151900.00
19/06/2023,CLEANING SERVICES-MONTHLY,NEFT012345,19/06/2023,12000.00,0.00,139900.00
20/06/2023,AIR CONDITIONING MAINTENANCE,NEFT123456,20/06/2023,8500.00,0.00,131400.00
21/06/2023,UPI-REMOTE WORKERS GROUP-HOT DESKS,UPI345678,21/06/2023,0.00,15000.00,146400.00
22/06/2023,FURNITURE REPAIR,POS567890,22/06/2023,4500.00,0.00,141900.00
23/06/2023,ADVERTISING-SOCIAL MEDIA CAMPAIGN,CARD123456,23/06/2023,7500.00,0.00,134400.00
24/06/2023,NEFT-TECH INCUBATOR-BULK BOOKING,NEFT234567,24/06/2023,0.00,65000.00,199400.00
25/06/2023,INSURANCE PREMIUM-PROPERTY,NEFT345678,25/06/2023,12500.00,0.00,186900.00
26/06/2023,ACCOUNTING SERVICES-MONTHLY,NEFT456789,26/06/2023,8500.00,0.00,178400.00
27/06/2023,UPI-STARTUP MEETUP-EVENT SPACE,UPI567890,27/06/2023,0.00,18000.00,196400.00
28/06/2023,PRINTER MAINTENANCE CONTRACT,CARD234567,28/06/2023,3500.00,0.00,192900.00
29/06/2023,SECURITY SYSTEM SUBSCRIPTION,CARD345678,29/06/2023,4500.00,0.00,188400.00
30/06/2023,NEFT-MULTIPLE MEMBERSHIPS-MONTHLY FEES,NEFT567891,30/06/2023,0.00,75000.00,263400.00
30/06/2023,BANK CHARGES,AUTO34567,30/06/2023,350.00,0.00,263050.00
30/06/2023,INTEREST EARNED,INT23456,30/06/2023,0.00,450.00,263500.00
